Feature name,Feature value,Credit line,License,Thumbnail URL,Full-size image URL,Metadata URL
Closure Placement,center back,,,,,
Closure Placement,center front,,,,,
Closure Placement,double-breasted,,,,,
Closure Placement,neck,,,,,
Closure Placement,off-center back,,,,,
Closure Placement,off-center front,,,,,
Closure Placement,side,,,,,
,,,,,,
Closure Type,buttons,,,,,
Closure Type,center back,,,,,
Closure Type,center front,,,,,
Closure Type,double-breasted,,,,,
Closure Type,hooks and eyes,Wikipedia user Eitan f,CC BY-SA 3.0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Hook_and_eye_clasp.JPG/320px-Hook_and_eye_clasp.JPG,https://upload.wikimedia.org/wikipedia/commons/f/f7/Hook_and_eye_clasp.JPG,https://commons.wikimedia.org/wiki/File:Hook_and_eye_clasp.JPG
Closure Type,neck,,,,,
Closure Type,off-center back,,,,,
Closure Type,off-center front,,,,,
Closure Type,side,,,,,
Closure Type,snaps,,,,,
Closure Type,ties,,,,,
Closure Type,toggles,,,,,
Closure Type,velcro,,,,,
Closure Type,zipper,Wikipedia user Woodbine9,CC BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Coil_plastic_and_metal_zippers.jpg/320px-Coil_plastic_and_metal_zippers.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a5/Coil_plastic_and_metal_zippers.jpg,https://commons.wikimedia.org/wiki/File:Coil_plastic_and_metal_zippers.jpg
,,,,,,
Material,acetate,,,,,
Material,acrylic,,,,,
Material,angora,,,,,
Material,basket weave,,,,,
Material,brocade,Source : http://www.anniecicatelli.com/brocart.htm,CC BY-SA 3.0,https://upload.wikimedia.org/wikipedia/commons/8/86/Brocart_de_soie_fran%C3%A7ais.jpg,,https://commons.wikimedia.org/wiki/File:Brocart_de_soie_fran%C3%A7ais.jpg
Material,camel,,,,,
Material,cashmere,,,,,
Material,chiffon,,,,,
Material,cotton,,,,,
Material,crochet,,,,,
Material,damask,,,,,
Material,dobby weave,"English: Composed, made and photographed by Damast ",CC BY-SA 3.0,https://upload.wikimedia.org/wikipedia/commons/f/fa/Swedish_weaving.jpg,,https://commons.wikimedia.org/wiki/File:Swedish_weaving.jpg
Material,double-weave,,,,,
Material,felt,,,,,
Material,fiber blend,,,,,
Material,georgette,,,,,
Material,glass,,,,,
Material,hemp,,,,,
Material,jacquard,,,,,
Material,knit,,,,,
Material,lace,,,,,
Material,linen,,,,,
Material,looped pile,,,,,
Material,matelasse,,,,,
Material,metal,,,,,
Material,microfiber,,,,,
Material,mohair,,,,,
Material,natural fiber,,,,,
Material,nylon,,,,,
Material,plain weave,,,,,
Material,plastic,,,,,
Material,polyester,,,,,
Material,ramie,,,,,
Material,rayon,,,,,
Material,rib knit,,,,,
Material,rib weave,,,,,
Material,satin weave,,,,,
Material,sheared pile,,,,,
Material,shell,,,,,
Material,silk,,,,,
Material,spandex,,,,,
Material,synthetic fiber,,,,,
Material,taffeta,,,,,
Material,twill weave,,,,,
Material,velvet,,,,,
Material,wood,,,,,
Material,wool,,,,,
,,,,,,
Overall Silhouette,A-line,,,,,
Overall Silhouette,Polonaise,,,,,
Overall Silhouette,S-curve,,,,,
Overall Silhouette,bias-cut,,,,,
Overall Silhouette,bustle,,,,,
Overall Silhouette,chemise,,,,,
Overall Silhouette,coat,,,,,
Overall Silhouette,crinoline,,,,,
Overall Silhouette,drop-waist,,,,,
Overall Silhouette,empire,"Merry-Joseph Blondel (1781–1853): Portrait of Félicité-Louise-Julie-Constance de Durfort, Maréchale de Beurnonville (1782-1808) ",Public domain,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Merry-Joseph_Blondel_-_Felicite-Louise-Julie-Constance_de_Durfort.jpg/323px-Merry-Joseph_Blondel_-_Felicite-Louise-Julie-Constance_de_Durfort.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Merry-Joseph_Blondel_-_Felicite-Louise-Julie-Constance_de_Durfort.jpg,https://commons.wikimedia.org/wiki/File:Merry-Joseph_Blondel_-_Felicite-Louise-Julie-Constance_de_Durfort.jpg
Overall Silhouette,fit and flare,,,,,
Overall Silhouette,hourglass,,,,,
Overall Silhouette,jumper,,,,,
Overall Silhouette,mantua,,,,,
Overall Silhouette,pinafore,National Library of Ireland on The Commons ,Public domain,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Besties%21_%289515878024%29.jpg/320px-Besties%21_%289515878024%29.jpg,https://upload.wikimedia.org/wikipedia/commons/4/40/Besties!_%289515878024%29.jpg,https://commons.wikimedia.org/wiki/File:Besties!_%289515878024%29.jpg
Overall Silhouette,princess,,,,,
Overall Silhouette,robe a l'Anglaise, Los Angeles County Museum of Art,Public domain,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Woman's_Robe_a_l'Anglaise_LACMA_M.2007.211.931_%284_of_7%29.jpg/359px-Woman's_Robe_a_l'Anglaise_LACMA_M.2007.211.931_%284_of_7%29.jpg,https://upload.wikimedia.org/wikipedia/commons/2/21/Woman%27s_Robe_a_l%27Anglaise_LACMA_M.2007.211.931_%284_of_7%29.jpg,https://commons.wikimedia.org/wiki/File:Woman's_Robe_a_l'Anglaise_LACMA_M.2007.211.931_%284_of_7%29.jpg
Overall Silhouette,robe a la Francaise / Watteau back,,,,,
Overall Silhouette,round gown,,,,,
Overall Silhouette,sheath,,,,,
Overall Silhouette,shirtwaist,,,,,
Overall Silhouette,slip,,,,,
Overall Silhouette,tent / trapeze,,,,,
Overall Silhouette,toga,,,,,
Overall Silhouette,tunic,,,,,
Overall Silhouette,wrap,,,,,
,,,,,,
Shawl Border Type,complex,,,,,
Shawl Border Type,contained,,,,,
Shawl Border Type,long fringe,,,,,
Shawl Border Type,narrow,,,,,
