"Label (field, property, attribute)",Main Color,Secondary Color,Overall Silhouette,Structure Neckline,Structure Torso,Structure Sleeves,Structure Sleeve Length,Structure Waist,Structure Waist Shape,Structure Skirt,Structure Pants,Structure Hem,Structure Lining,Structure Cut,Closure Type,Closure Placement,Socio-Economic Class,Gender,Age,Function,Condition Term,Material,Technique,Shawl Shape,Shawl Design Features,Shawl Border Type,Record Type
Definition,The dominant color of the entire object.,A color in addition to the dominant color.,A term to describe the overall shape and structure of all pieces together.,A term to describe the structural characteristics of the neckline.,A term to describe the structural characteristics of the torso.,A term to describe the structural characteristics of the sleeves.,A term to describe the length of the sleeves.,A term to describe the structural characteristics of the waist.,A term to describe the shape of the waist.,A term to describe the structural characteristics of the skirt.,A term to describe the structural characteristics of the pants.,A term to describe the structural characteristics of the hem.,A term to describe the structural characteristics of the lining.,A term to describe whether the length/height of the object is cut on the straight of grain (lengthwise or crosswise) or on the bias.,A term to describe the type of closures used.,A term to describe the location of placement of closures on the garment.,A term to indicate the socioeconomic class of the person(s) who wore the object; may have multiple values to show that the object was passed up or down through the hierarchy.,A term to indicate the gender for which the object was originally intended.,A term to indicate the age for which the object was intended.,A term to indicate the fucntion for which the object was intended.,A single term to indicate a rating of the overall condition of the object.,,,,,,
Source of Vocabulary,Quilt Index,Quilt Index,,,,,,,,,,,,,,,,,,,,,,,,,
CONTROLLED VOCABULARY TERMS,beige,beige,A-line,,1 dart,2-piece tailored,strapless,angled to side,straight,a-line,ankle,above knee,attached crinolines,straight,buttons,center front,low ,female, infant,morning,excellent,natural fiber,hand sewing,square,central circle,wide,work
,black,black,bias-cut,ascot collar,2 darts,batwing,tank,asymmetrical,curved,accordion pleated,Bermuda,ankle,attached ruffles,straight (lengthwise grain),hooks and eyes,center back,middle ,male,child,day,very good,synthetic fiber,machine sewing,long, moon,narrow,collection
,blue,blue,bustle,,3 darts,bell,camisole straps,bare midriff,pointed,balloon,briefs,asymmetrical,bodice fully lined,straight (crosswise grain),snaps,double-breasted,high,unisex,adolescent,dinner,good,fiber blend,weaving,triangular, sprigs,contained,image
,brown,brown,chemise,band collar,4 darts,bishop,cap,basque,angled to side,box-pleated,capri,floor,bodice partially lined ,bias,ties,off-center front,,,adult,evening,fair,cotton,applique,semi-circle, ABAB repeat,complex,
,burgundy,burgundy,coat,bateau / boat,5 darts,block/straight,short,bolero,basque,bustle,flared,flounced,boning,,toggles,off-center back,,,senior,work,poor,silk,beading,, bi-lateral symmetry,short fringe,
,coral,coral,crinoline,bertha collar,6 darts,camisole straps,elbow ,curved,bolero,circular,harem,hip,pads,,velcro,side,,,,school uniform,,wool ,braiding,,tilting botehs,long fringe,
,cream,cream,drop-waist,bow collar,7 or more darts,cap,three-quarter,dropped,wrap,crinoline,Jamaica,knee,pants fully lined,,zipper,neck,OR:,,,military uniform,,linen,burn-out ,,straight botehs,,
,fuchsia,fuchsia,empire,,,,,,,dirndl,knickers,maxi,pants partially lined ,,center front,,,,,work uniform,,acetate,crocheting,,symmetrical motifs,,
