id,display_name_en,description_text_en,description_rights_author,description_rights_license,description_rights_source_name,description_rights_source_url,image_full_size_url,image_thumbnail_url,image_full_size_rel_path,image_thumbnail_rel_path,image_rights_author,image_rights_license,image_rights_source_name,image_rights_source_url,status,last modified,original file URL,AATID,EFTID
CC00102,a-line,,,,,,,,,,,,,,incomplete,,,,
CC00185,above knee,,,,,,,,,,,,,,incomplete,,,,
CC00163,accordion pleats,"Wide, sharply pressed pleats, arranged in a row, evenly spaced and all turned in the same direction. For narrow pleats of a similar nature, use ""knife pleats.""",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,,,,incomplete,,,300228360,
CC00195,acetate,,,,,,,,,,,,,,incomplete,,,,
CC00196,acrylic,Synthetic fiber in which the fiber forming substance is composed of at least 85% acrylic resin.,The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,,,,incomplete,,,300386559,
CC00151,angled waistline,,,,,,,,,,,,,,incomplete,,,,
CC00197,angora,"The long, fine hair from any breed of Angora rabbit. The white French rabbit is favored for its high-quality, soft hair. Angora dyes readily, but is difficult to spin because of its fine texture and it does not felt like common rabbit hair. It is usually mixed with sheep wool or other fibers for weaving.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,,,,incomplete,,,300386672,
CC00186,ankle length,,,,,,,,,,,,,,incomplete,,,,
CC00074,applique,"Technique of forming a design by applying cut out pieces of a material to a ground material; generally associated with needleworking, but also used in ceramics, leatherworking, woodworking, and metalworking.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,,,,incomplete,,,300053646,
CC00028,ascot,Neckcloths with broad ends usually looped and tied under the chin and sometimes secured by a stickpin.,The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/vow/AATFullDisplay?find=ascot&logic=AND&note=&english=N&prev_page=1&subjectid=300210052,https://dressdiscover.org/img/worksheet/full_size/429px-Ascot.jpg,https://dressdiscover.org/img/worksheet/thumbnail/429px-Ascot.jpg,full_size/429px-Ascot.jpg,thumbnail/429px-Ascot.jpg,David Ring,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Ascot.jpg,uploaded,,https://upload.wikimedia.org/wikipedia/commons/8/8d/Ascot.jpg,300210052,
CC00152,asymmetrical,,,,,,,,,,,,,,incomplete,,,300056248,
CC00164,balloon skirt,,,,,,,,,,,,,,incomplete,,,,
CC00029,band (collar),"Flat, stand-up collars, starched, wired, or otherwise stiffened, especially those commonly worn by men and women in the 17th century.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/vow/AATFullDisplay?find=band&logic=AND&note=&english=N&prev_page=1&subjectid=300217242,https://dressdiscover.org/img/worksheet/full_size/429px-Band_%28collar%29.jpg,https://dressdiscover.org/img/worksheet/thumbnail/429px-Band_%28collar%29.jpg,full_size/429px-Band_%28collar%29.jpg,thumbnail/429px-Band_%28collar%29.jpg,David Ring,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Band_(collar).jpg,uploaded,,,300217242,
CC00153,bare midriff,,,,,,,,,,,,,,incomplete,,,,
CC00198,basket weave,"Weaving technique with a simple criss-cross checkerboard pattern in which two or more filling yarns, or a single heavier yarn, pass over and under two or more warp yarns.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,,,,incomplete,,,300400693,
CC00154,basque,,,,,,,,,,,,,,incomplete,,,,
CC00128,batwing,"A long sleeve with a deep armhole, tapering towards the wrist. Also known as a ""magyar"" sleeve.",Wikipedia contributors,Creative Commons Attribution-ShareAlike,Wikipedia,https://en.wikipedia.org/w/index.php?title=Sleeve&oldid=826178611,https://dressdiscover.org/img/worksheet/full_size/429px-Batwing_sleeve.jpg,https://dressdiscover.org/img/worksheet/thumbnail/429px-Batwing_sleeve.jpg,full_size/429px-Batwing_sleeve.jpg,thumbnail/429px-Batwing_sleeve.jpg,David Ring,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File%3ABatwing_sleeve.jpg,uploaded,,,,
CC00075,beading,"Trimming, furnishing, adorning, or covering textiles or objects with beads, or creating jewelry by stringing beads.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,,,,incomplete,,,300235440,
CC00049,beige,"A variable color generally light grayish-yellowish brown, originally referring to the color of unbleached wool. (AAT)",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,https://dressdiscover.org/img/worksheet/full_size/1280px-Royal_Winter_Fair_Wool.jpg,https://dressdiscover.org/img/worksheet/thumbnail/1280px-Royal_Winter_Fair_Wool.jpg,full_size/1280px-Royal_Winter_Fair_Wool.jpg,thumbnail/1280px-Royal_Winter_Fair_Wool.jpg,Wikimedia user Rob,Creative Commons Attribution 2.0 Generic,Wikipedia,https://commons.wikimedia.org/wiki/File:Royal_Winter_Fair_Wool.jpg,new,43471,https://upload.wikimedia.org/wikipedia/commons/4/4b/Royal_Winter_Fair_Wool.jpg,300266234,EFT10778
CC00129,bell skirt,,,,,,,,,,,,,,incomplete,,,,
CC00030,bertha,"Deep, capelike collars, often of lace or silk, worn about the shoulders by women.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,,,,incomplete,,,300210054,
CC00103,bias-cut,,,,,,,,,,,,,,incomplete,,,,
CC00130,bishop sleeve,"A long sleeve, fuller at the bottom than the top, and gathered into a cuff",Wikipedia contributors,Creative Commons Attribution-ShareAlike,Wikipedia,https://en.wikipedia.org/w/index.php?title=Sleeve&oldid=826178611,https://dressdiscover.org/img/worksheet/full_size/Bishops_sleeve.jpg,https://dressdiscover.org/img/worksheet/thumbnail/Bishops_sleeve.jpg,full_size/Bishops_sleeve.jpg,thumbnail/Bishops_sleeve.jpg,Wikimedia user Henna,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Bishops_sleeve.jpg#metadata,uploaded,,,,
