id,display_name_en,description_text,description_rights_author,description_rights_license,description_rights_source_name,description_rights_source_url,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
color,color,,,,,,CC00049,CC00050,CC00051,CC00052,CC00053,CC00054,CC00055,CC00056,CC00057,CC00058,CC00059,CC00060,CC00061,CC00290,CC00062,CC00063,CC00064,CC00065,CC00066,CC00067,CC00068,CC00069,CC00070,CC00071,CC00072,CC00073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
closure,closure,,,,,,CC00001,CC00002,CC00003,CC00004,CC00005,CC00006,CC00008,CC00009,CC00010,CC00011,CC00012,CC00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
closurePlacement,closure placement,,,,,,CC00348,CC00349,CC00350,CC00351,CC00352,CC00353,CC00354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neckline,neckline,,,,,,CC00014,CC00015,CC00016,CC00017,CC00018,CC00019,CC00020,CC00021,CC00119,CC00023,CC00024,CC00025,CC00026,CC00027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collar,collar,,,,,,CC00028,CC00029,CC00030,CC00031,CC00032,CC00033,CC00034,CC00035,CC00036,CC00037,CC00038,CC00039,CC00040,CC00041,CC00042,CC00043,CC00044,CC00045,CC00258,CC00047,CC00048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sleeveType,sleeve type,,,,,,CC00128,CC00130,CC00263,CC00131,CC00132,CC00256,CC00134,CC00135,CC00136,CC00137,CC00138,CC00139,CC00142,CC00140,CC00141,CC00143,CC00401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sleeveLength,sleeve length,,,,,,CC00144,CC00146,CC00149,CC00150,CC00148,CC00145,CC00147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
waistline,waistline,,,,,,CC00151,CC00152,CC00153,CC00154,CC00155,CC00156,CC00157,CC00158,CC00159,CC00228,CC00161,CC00162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skirtType,skirt type,,,,,,CC00102,CC00163,CC00164,CC00129,CC00165,CC00251,CC00166,CC00107,CC00167,CC00168,CC00169,CC00171,CC00255,CC00174,CC00175,CC00180,CC00177,CC00178,CC00179,CC00181,CC00182,CC00183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
