display_name_en,id,description_text_en,description_rights_author,description_rights_statement,description_rights_license,description_rights_source_name,description_rights_source_url,image_full_size_rel_path,image_thumbnail_rel_path,image_rights_author,image_rights_statement (from images),image_rights_license,image_rights_source_name,image_rights_source_url,status,last_modified,original_file_URL,AATID,EFTID,WikidataID,features,URI
buckle,CC00001,Devices used for fastening consisting of a usually open rectangular or rounded frame and a tongue or catch attached to one side or a vertical bar attached across the center. Sometimes used alone as an ornament.,The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,full_size/CC00001.jpg,thumbnail/CC00001.jpg,David Ring,https://creativecommons.org/publicdomain/mark/1.0/,https://creativecommons.org/publicdomain/zero/1.0/,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Buckle.jpg,uploaded,2020-10-11,https://upload.wikimedia.org/wikipedia/commons/5/5a/Buckle.jpg,300239260,10438,,closure,http://vocab.getty.edu/aat/300239260
buttons,CC00002,"Disks, balls, or devices of other shape having holes or a shank by which they are sewn or secured to an article and that are used as fasteners by passing through a buttonhole or loop or a trimming.",The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,full_size/CC00002.jpg,thumbnail/CC00002.jpg,Marco Bernardini,https://rightsstatements.org/vocab/InC/1.0/,https://creativecommons.org/licenses/by-sa/3.0/,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Three_holes_buttons.jpg,uploaded,2020-10-11,https://upload.wikimedia.org/wikipedia/commons/4/49/Three_holes_buttons.jpg,300239261,10062,,closure,http://vocab.getty.edu/aat/300239261
frogs,CC00003,"Two-part fasteners for a coat, jacket, or other garment usually made of a looped braid or cord in an ornamental design on one edge of the garment that attaches around a knot, toggle, or similar device on the other side. (AAT)",The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,full_size/CC00003.jpg,thumbnail/CC00003.jpg,David Ring,https://creativecommons.org/publicdomain/zero/1.0/,https://creativecommons.org/publicdomain/zero/1.0/,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Frog_(fastening).jpg,edited,2020-10-11,https://upload.wikimedia.org/wikipedia/commons/6/6d/Frog_%28fastening%29.jpg,300247475,10880,,closure,http://vocab.getty.edu/aat/300247475
hooks and eyes,CC00004,"Two-part fastening devices, as on a garment or a door, consisting of a hook that catches over a bar or into a loop.",The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,full_size/CC00004.jpg,thumbnail/CC00004.jpg,Wikipedia user Eitan F,https://rightsstatements.org/vocab/InC/1.0/,https://creativecommons.org/licenses/by-sa/4.0/,Wikimedia Commons,https://en.wikipedia.org/wiki/Hook-and-eye,uploaded,2020-10-11,https://upload.wikimedia.org/wikipedia/commons/f/f7/Hook_and_eye_clasp.JPG,300051508,,,closure,http://vocab.getty.edu/aat/300051508
lacing,CC00005,"Cord, tape, or ribbon used for fastening by interlacing through holes in two garments or two sides of an opening. (EFT)",Wikidata contributors,https://creativecommons.org/publicdomain/mark/1.0/,https://creativecommons.org/publicdomain/mark/1.0/,Wikidata,https://www.wikidata.org/wiki/Wikidata:Data_access/en,full_size/CC00005.jpg,thumbnail/CC00005.jpg,David Ring,https://creativecommons.org/publicdomain/zero/1.0/,https://creativecommons.org/publicdomain/zero/1.0/,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Lace_(fastening).jpg,edited,2020-10-11,https://upload.wikimedia.org/wikipedia/commons/7/77/Lace_%28fastening%29.jpg,,10064,Q29514179,closure,http://www.wikidata.org/entity/Q29514179
grommets,CC00006,"Metal or plastic ringlike devices that provide a reinforced hole in a material, such as cloth or leather, that might otherwise tear from the stress on the hole when a fastener or other device is passed through it or attached to it.",The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,full_size/CC00006.jpg,thumbnail/CC00006.jpg,Lupus in Saxonia,https://rightsstatements.org/vocab/InC/1.0/,https://creativecommons.org/licenses/by-sa/4.0/,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:%2BBefestigungs%C3%B6se_f%C3%BCr_ein_%C3%B6ffentliches_Werbeplakat_-_Bild_002.jpg,edited,2020-10-11,https://upload.wikimedia.org/wikipedia/commons/7/7a/%2BBefestigungs%C3%B6se_f%C3%BCr_ein_%C3%B6ffentliches_Werbeplakat_-_Bild_002.jpg,300080226,,,closure,http://vocab.getty.edu/aat/300080226
wrap dress,CC00007,Dresses constructed so that panels cross over each other and can be fastened. These are of varied design and may be in any length and have a variety of sleeve types and necklines.,The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,full_size/CC00007.jpg,thumbnail/CC00007.jpg,David Ring,https://creativecommons.org/publicdomain/zero/1.0/,https://creativecommons.org/publicdomain/zero/1.0/,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Wrap_dress.jpg,edited,2020-10-11,https://upload.wikimedia.org/wikipedia/commons/d/dc/Wrap_dress.jpg,300417877,,,dressType,http://vocab.getty.edu/aat/300417877
snaps,CC00008,Fastening devices that close with a click when the two parts are fitted tightly into each other.,The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,full_size/CC00008.jpg,thumbnail/CC00008.jpg,Wikimedia user Grkauls,https://creativecommons.org/publicdomain/mark/1.0/,https://creativecommons.org/publicdomain/mark/1.0/,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Druckknopf.jpg,uploaded,2020-10-11,https://upload.wikimedia.org/wikipedia/commons/6/6d/Druckknopf.jpg,300239270,,,closure,http://vocab.getty.edu/aat/300239270
eyelets,CC00009,"Small holes, usually round and finished along the edge, as in cloth or leather for the passage of a lace or cord or as in embroidery for ornamental effect.",The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,full_size/CC00009.jpg,thumbnail/CC00009.jpg,Royal Armoury,https://creativecommons.org/publicdomain/zero/1.0/,https://creativecommons.org/publicdomain/zero/1.0/,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Gustav_II_Adolfs_sveptr%C3%B6ja_-_svepdr%C3%A4kt_-_Livrustkammaren_-_61164.tif,edited,2020-10-11,https://upload.wikimedia.org/wikipedia/commons/8/84/Gustav_II_Adolfs_sveptr%C3%B6ja_-_svepdr%C3%A4kt_-_Livrustkammaren_-_61164.tif,300239342,,,closure,http://vocab.getty.edu/aat/300239342
ties,CC00010,"Cords, bands, or similar flexible devices used for fastening, especially by interlacing, such as in a knot or bow.",The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,,,accepted,2020-10-03,,300239307,10064,,closure,http://vocab.getty.edu/aat/300239307
toggles,CC00011,"Rodlike buttons of wood or other material, attached to cord, leather, or chain loops and designed to be passed through another loop as a fastener on a garment.",The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,,,accepted,2020-10-03,,300254540,,,closure,http://vocab.getty.edu/aat/300254540
velcro,CC00012,"Trademark name for fastening material consisting of opposing pieces of fabric, one with a dense arrangement of tiny nylon hooks and the other with a dense nylon pile, that interlock when pressed together.",The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,full_size/CC00012.jpg,thumbnail/CC00012.jpg,Wikimedia Commons User Elkagye,https://creativecommons.org/publicdomain/mark/1.0/,https://creativecommons.org/publicdomain/mark/1.0/,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Velcro6.jpg,accepted,2020-10-11,https://upload.wikimedia.org/wikipedia/commons/d/d6/Velcro6.jpg,300239275,,Q15411420,closure,http://vocab.getty.edu/aat/300239275
zipper,CC00013,Fasteners consisting usually of two rows of metal or plastic teeth on strips of tape for binding to the edges of an opening and having a sliding piece that closes the opening by drawing the teeth into interlocking position.,The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,full_size/CC00013.jpg,thumbnail/CC00013.jpg,Wikipedia user Woodbine9,https://rightsstatements.org/vocab/InC/1.0/,https://creativecommons.org/licenses/by-sa/4.0/,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Coil_plastic_and_metal_zippers.jpg,uploaded,2020-10-11,https://upload.wikimedia.org/wikipedia/commons/a/a5/Coil_plastic_and_metal_zippers.jpg,300239276,10061,,closure,http://vocab.getty.edu/aat/300239276
boat neck,CC00014,neckline cut straight or nearly straight across from should to shoulder,Wikidata contributors,https://creativecommons.org/publicdomain/mark/1.0/,https://creativecommons.org/publicdomain/mark/1.0/,Wikidata,https://www.wikidata.org/wiki/Wikidata:Data_access/en,full_size/CC00014.jpg,thumbnail/CC00014.jpg,David Ring,https://creativecommons.org/publicdomain/zero/1.0/,https://creativecommons.org/publicdomain/zero/1.0/,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Boat_neck.jpg,uploaded,2020-10-11,https://upload.wikimedia.org/wikipedia/commons/f/fb/Boat_neck.jpg,,10877,Q2466122,neckline,http://www.wikidata.org/entity/Q2466122
crew neck,CC00015,"round neckline fitting close to the base of the neck, or a shiort or sweater with such a neckline",Wikidata contributors,https://creativecommons.org/publicdomain/mark/1.0/,https://creativecommons.org/publicdomain/mark/1.0/,Wikidata,https://www.wikidata.org/wiki/Wikidata:Data_access/en,full_size/CC00015.jpg,thumbnail/CC00015.jpg,Wikimedia user Camisetas,https://rightsstatements.org/vocab/InC/1.0/,https://creativecommons.org/licenses/by-sa/4.0/,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Blue_Tshirt.jpg,uploaded,2020-10-11,https://upload.wikimedia.org/wikipedia/commons/2/24/Blue_Tshirt.jpg,,,Q5184798,neckline,http://www.wikidata.org/entity/Q5184798
halterneck,CC00016,"Garments having a strap encircling the neck and supporting the front of the bodice, leaving shoulders and most of the back bare.",The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,full_size/CC00016.jpg,thumbnail/CC00016.jpg,Wikimedia user At~A~Glance,https://rightsstatements.org/vocab/InC/1.0/,https://creativecommons.org/licenses/by/4.0,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Haltertop.jpg,uploaded,2020-10-11,https://upload.wikimedia.org/wikipedia/commons/4/4f/Haltertop.jpg,300209885,,,neckline,http://vocab.getty.edu/aat/300209885
henley neckline,CC00017,"a round neckline with a button placket about 3 to 5 inches (8 to 13 cm) long, with 2–5 buttons",Wikidata contributors,https://creativecommons.org/publicdomain/mark/1.0/,https://creativecommons.org/publicdomain/mark/1.0/,Wikidata,https://www.wikidata.org/wiki/Wikidata:Data_access/en,full_size/CC00017.jpg,thumbnail/CC00017.jpg,Wikimedia Users: Elkagye and Themightyquill,https://rightsstatements.org/vocab/InC/1.0/,https://creativecommons.org/licenses/by-sa/3.0/,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Shirt-type_Henley.svg,uploaded,2020-10-11,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Shirt-type_Henley.svg/2000px-Shirt-type_Henley.svg.png,,,Q77004674,neckline,http://www.wikidata.org/entity/Q77004674
inset,CC00018,,,,,,,,,,,,,,edited,2020-10-04,,,,,costumeComponents,https://w3id.org/costumeCore/ontology/CC00018
keyhole neckline,CC00020,,Wikidata contributors,https://creativecommons.org/publicdomain/mark/1.0/,https://creativecommons.org/publicdomain/mark/1.0/,Wikidata,https://www.wikidata.org/wiki/Wikidata:Data_access/en,full_size/CC00020.jpg,thumbnail/CC00020.jpg,Flick User Raphael Goetter,https://rightsstatements.org/vocab/InC/1.0/,https://creativecommons.org/licenses/by/2.0/,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Floor_start_7682.jpg,accepted,2020-10-11,https://upload.wikimedia.org/wikipedia/commons/a/a2/Floor_start_7682.jpg,,,Q1751458,neckline,http://www.wikidata.org/entity/Q1751458
off-the-shoulder neckline,CC00021,,Wikidata contributors,https://creativecommons.org/publicdomain/mark/1.0/,https://creativecommons.org/publicdomain/mark/1.0/,Wikidata,https://www.wikidata.org/wiki/Wikidata:Data_access/en,,,,,,,,accepted,2020-10-03,,,,Q1043590,neckline,http://www.wikidata.org/entity/Q1043590
square neck,CC00024,,Wikidata contributors,https://creativecommons.org/publicdomain/mark/1.0/,https://creativecommons.org/publicdomain/mark/1.0/,Wikidata,https://www.wikidata.org/wiki/Wikidata:Data_access/en,full_size/CC00024.jpg,thumbnail/CC00024.jpg,David Ring,https://creativecommons.org/publicdomain/mark/1.0/,https://creativecommons.org/publicdomain/zero/1.0/,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Square_neck.jpg,uploaded,2020-10-11,https://upload.wikimedia.org/wikipedia/commons/8/82/Square_neck.jpg,,10875,Q29583222,neckline,http://www.wikidata.org/entity/Q29583222
strapless,CC00025,Upper edge of the garment is just above the bustline with nothing over the shoulders.,Wikidata contributors,https://creativecommons.org/publicdomain/mark/1.0/,https://creativecommons.org/publicdomain/mark/1.0/,Wikidata,https://www.wikidata.org/wiki/Wikidata:Data_access/en,full_size/CC00025.jpg,thumbnail/CC00025.jpg,David Ring,https://creativecommons.org/publicdomain/mark/1.0/,https://creativecommons.org/publicdomain/zero/1.0/,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Strapless_dress.jpg,uploaded,2020-10-11,https://upload.wikimedia.org/wikipedia/commons/9/9e/Strapless_dress.jpg,,,Q83329964,neckline,http://www.wikidata.org/entity/Q83329964
sweetheart neckline,CC00026,,Wikidata contributors,https://creativecommons.org/publicdomain/mark/1.0/,https://creativecommons.org/publicdomain/mark/1.0/,Wikidata,https://www.wikidata.org/wiki/Wikidata:Data_access/en,,,,,,,,accepted,2020-10-03,,,,Q73419282,neckline,http://www.wikidata.org/entity/Q73419282
v-neck,CC00027,,Wikidata contributors,https://creativecommons.org/publicdomain/mark/1.0/,https://creativecommons.org/publicdomain/mark/1.0/,Wikidata,https://www.wikidata.org/wiki/Wikidata:Data_access/en,full_size/CC00027.jpg,thumbnail/CC00027.jpg,David Ring,https://creativecommons.org/publicdomain/mark/1.0/,https://creativecommons.org/publicdomain/zero/1.0/,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:V-neck.jpg,uploaded,2020-10-11,https://upload.wikimedia.org/wikipedia/commons/4/48/V-neck.jpg,,10721,Q29583212,neckline,http://www.wikidata.org/entity/Q29583212
