id,display_name_en,description_text_en,description_rights_author,description_rights_license,description_rights_statement,description_rights_source_name,description_rights_source_url,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
closure,closure,Each closure used on the garment.,The J. Paul Getty Trust,https://opendatacommons.org/licenses/by/1-0/,http://rightsstatements.org/vocab/InC/1.0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,CC00001,CC00002,CC00515,CC00009,CC00003,CC00006,CC00004,CC00005,CC00008,CC00010,CC00011,CC00012,CC00013,,,,,,,,,,,,,,,,,,,,,,,
closurePlacement,closure placement,Each placement of closures on the item.,Arden Kirkland,https://creativecommons.org/publicdomain/mark/1.0/,https://creativecommons.org/publicdomain/mark/1.0/,Costume Core Toolkit,http://www.ardenkirkland.com/costumecore/,CC00351,CC00348,CC00349,CC00354,CC00352,CC00353,CC00350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collar,collar,Each term that describes the collar of the garment.,The J. Paul Getty Trust,https://opendatacommons.org/licenses/by/1-0/,http://rightsstatements.org/vocab/InC/1.0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,CC00029,CC00037,CC00040,CC00043,CC00045,CC00258,CC00614,CC00039,CC00047,CC00048,,,,,,,,,,,,,,,,,,,,,,,,,,
colorMain,color main,The most dominant color in the garment.,Arden Kirkland,https://creativecommons.org/licenses/by-sa/4.0,http://rightsstatements.org/vocab/InC/1.0/,Costume Core Toolkit,https://w3id.org/costumeCore/ontology/colorMain,CC00049,CC00050,CC00051,CC00052,CC00053,CC00054,CC00055,CC00056,CC00057,CC00058,CC00059,CC00060,CC00061,CC00290,CC00062,CC00063,CC00064,CC00065,CC00066,CC00067,CC00068,CC00069,CC00070,CC00071,CC00072,CC00073,,,,,,,,,,
colorSecondary,color secondary,Any additional colors in the garment.,Arden Kirkland,https://creativecommons.org/licenses/by-sa/4.0,http://rightsstatements.org/vocab/InC/1.0/,Costume Core Toolkit,https://w3id.org/costumeCore/ontology/colorMain,CC00049,CC00050,CC00051,CC00052,CC00053,CC00054,CC00055,CC00056,CC00057,CC00058,CC00059,CC00060,CC00061,CC00290,CC00062,CC00063,CC00064,CC00065,CC00066,CC00067,CC00068,CC00069,CC00070,CC00071,CC00072,CC00073,,,,,,,,,,
costumeComponents,costume components,Each additional component of the garment not included elsewhere.,The J. Paul Getty Trust,https://opendatacommons.org/licenses/by/1-0/,http://rightsstatements.org/vocab/InC/1.0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,CC00599,CC00394,CC00598,CC00327,CC00395,CC00396,CC00580,CC00018,CC00287,CC00492,CC00176,CC00397,CC00581,CC00398,CC00142,CC00493,CC00399,CC00400,CC00184,,,,,,,,,,,,,,,,,
dressType,dress type,Each term that describes the type of dress.,The J. Paul Getty Trust,https://opendatacommons.org/licenses/by/1-0/,http://rightsstatements.org/vocab/InC/1.0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,CC00494,CC00496,CC00323,CC00108,CC00109,CC00110,CC00112,CC00501,CC00114,CC00502,CC00121,CC00522,CC00122,CC00123,CC00520,CC00125,CC00124,CC00126,CC00379,CC00007,,,,,,,,,,,,,,,,
fiber,fiber,"Each term for the type of fiber used in the materials of the object, distinguished from the textile type, trimmings, or other materials.",The J. Paul Getty Trust,https://opendatacommons.org/licenses/by/1-0/,http://rightsstatements.org/vocab/InC/1.0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,CC00195,CC00196,CC00197,CC00201,CC00202,CC00205,CC00273,CC00274,CC00213,CC00216,CC00282,CC00288,CC00225,CC00226,CC00160,CC00230,CC00299,CC00233,CC00303,CC00234,CC00235,CC00242,CC00243,CC00244,CC00250,,,,,,,,,,,
length,length,"Each length of the object, where the hem lands on the body.",Arden Kirkland,https://creativecommons.org/publicdomain/mark/1.0/,https://creativecommons.org/publicdomain/mark/1.0/,Costume Core Toolkit,http://www.ardenkirkland.com/costumecore/,CC00627,CC00626,CC00188,CC00192,CC00185,CC00189,CC00191,CC00186,CC00187,CC00194,,,,,,,,,,,,,,,,,,,,,,,,,,
neckline,neckline,Each type of neckline of the garment.,Wikidata contributors,https://creativecommons.org/publicdomain/mark/1.0/,https://creativecommons.org/publicdomain/mark/1.0/,Wikidata,https://www.wikidata.org/wiki/Wikidata:Data_access/en,CC00489,CC00014,CC00034,CC00015,CC00490,CC00035,CC00016,CC00017,CC00020,CC00021,CC00119,CC00024,CC00025,CC00491,CC00026,CC00027,,,,,,,,,,,,,,,,,,,,
